Date,Open,High,Low,Close*,Adj Close**,Volume
11-Oct-18,214.52,219.48,212.32,214.45,214.45,"48,763,401"
1-Oct-18,227.95,233.47,212.32,214.45,214.45,"294,266,500"
1-Sep-18,228.41,229.67,215.3,225.74,225.74,"678,972,000"
10-Aug-18,0.73ÿDividend,,,,,
1-Aug-18,199.13,228.87,197.31,227.63,226.83,"700,318,900"
1-Jul-18,183.82,195.96,183.42,190.29,189.62,"393,691,400"
1-Jun-18,187.99,194.2,180.73,185.11,184.46,"527,624,500"
11-May-18,0.73ÿDividend,,,,,
1-May-18,166.41,190.37,165.27,186.87,185.5,"620,976,300"
1-Apr-18,166.64,178.94,160.63,165.26,164.05,"666,057,900"
1-Mar-18,178.54,183.5,164.94,167.78,166.55,"713,010,900"
9-Feb-18,0.63ÿDividend,,,,,
1-Feb-18,167.17,180.62,150.24,178.12,176.1,"927,894,300"
1-Jan-18,170.16,180.1,164.7,167.43,165.53,"659,487,300"
1-Dec-17,169.95,177.2,166.46,169.23,167.31,"530,833,500"
10-Nov-17,0.63ÿDividend,,,,,
1-Nov-17,169.87,176.24,165.28,171.85,169.29,"600,663,400"
1-Oct-17,154.26,169.65,152.46,169.04,166.52,"504,291,300"
1-Sep-17,164.8,164.94,149.16,154.12,151.82,"680,374,100"
10-Aug-17,0.63ÿDividend,,,,,
1-Aug-17,149.1,164.52,148.41,164,160.93,"661,069,000"
1-Jul-17,144.88,153.99,142.41,148.73,145.94,"422,011,900"
1-Jun-17,153.17,155.98,142.2,144.02,141.32,"684,178,100"
11-May-17,0.63ÿDividend,,,,,
1-May-17,145.1,156.65,144.27,152.76,149.28,"653,981,800"
1-Apr-17,143.71,145.46,140.06,143.65,140.38,"373,304,100"
1-Mar-17,137.89,144.5,137.05,143.66,140.39,"561,628,400"
9-Feb-17,0.57ÿDividend,,,,,
1-Feb-17,127.03,137.48,127.01,136.99,133.29,"574,968,600"
1-Jan-17,115.8,122.44,114.76,121.35,118.07,"563,122,000"
1-Dec-16,110.37,118.02,108.25,115.82,112.69,"608,771,700"
3-Nov-16,0.57ÿDividend,,,,,
1-Nov-16,113.46,113.77,104.08,110.52,106.99,"721,305,500"
1-Oct-16,112.71,118.69,112.28,113.54,109.91,"686,914,300"
1-Sep-16,106.14,116.18,102.53,113.05,109.44,"968,015,600"
4-Aug-16,0.57ÿDividend,,,,,
1-Aug-16,104.41,110.23,104,106.1,102.15,"630,128,500"
1-Jul-16,95.49,104.55,94.37,104.21,100.33,"685,779,600"
1-Jun-16,99.02,101.89,91.5,95.6,92.05,"779,055,700"
5-May-16,0.57ÿDividend,,,,,
1-May-16,93.97,100.73,89.47,99.86,95.56,"900,318,100"
1-Apr-16,108.78,112.39,92.51,93.74,89.71,"872,396,200"
1-Mar-16,97.65,110.42,97.42,108.99,104.3,"746,049,600"
4-Feb-16,0.52ÿDividend,,,,,
1-Feb-16,96.47,98.89,92.59,96.69,92.03,"810,862,600"
1-Jan-16,102.61,105.85,92.39,97.34,92.65,"1,271,024,100"
1-Dec-15,118.75,119.86,104.82,105.26,100.19,"921,529,700"
5-Nov-15,0.52ÿDividend,,,,,
1-Nov-15,120.8,123.82,111,118.3,112.12,"750,640,600"
1-Oct-15,109.07,121.22,107.31,119.5,113.26,"1,112,323,100"
1-Sep-15,110.15,116.89,107.36,110.3,104.54,"1,206,547,300"
6-Aug-15,0.52ÿDividend,,,,,
1-Aug-15,121.5,122.57,92,112.92,106.54,"1,786,018,000"
1-Jul-15,126.9,132.97,119.22,121.3,114.45,"1,057,507,200"
1-Jun-15,130.28,131.39,124.48,125.43,118.34,"878,512,600"
7-May-15,0.52ÿDividend,,,,,
1-May-15,126.1,132.97,123.36,130.28,122.41,"954,152,100"
1-Apr-15,124.82,134.54,123.1,125.15,117.59,"996,135,500"
1-Mar-15,129.25,130.28,121.63,124.43,116.91,"1,138,642,100"
5-Feb-15,0.47ÿDividend,,,,,
1-Feb-15,118.05,133.6,116.08,128.46,120.22,"1,136,535,200"
1-Jan-15,111.39,120,104.63,117.16,109.65,"1,304,643,800"
1-Dec-14,118.81,119.25,106.26,110.38,103.3,"1,073,594,600"
6-Nov-14,0.47ÿDividend,,,,,
1-Nov-14,108.22,119.75,107.72,118.93,110.82,"820,408,200"
1-Oct-14,100.59,108.04,95.18,108,100.64,"1,360,280,200"
1-Sep-14,103.06,103.74,96.14,100.75,93.88,"1,526,420,000"
7-Aug-14,0.47ÿDividend,,,,,
1-Aug-14,94.9,102.9,93.28,102.5,95.04,"937,077,000"
1-Jul-14,93.52,99.44,92.57,95.6,88.64,"1,035,086,000"
9-Jun-14,7/1ÿStock Split,,,,,
1-Jun-14,90.57,95.05,88.93,92.93,86.17,"1,206,934,800"
8-May-14,0.47ÿDividend,,,,,
1-May-14,84.57,92.02,82.9,90.43,83.38,"1,433,917,100"
1-Apr-14,76.82,85.63,73.05,84.3,77.73,"1,608,765,200"
1-Mar-14,74.77,78.43,74.69,76.68,70.7,"1,250,424,700"
6-Feb-14,0.43571ÿDividend,,,,,
1-Feb-14,71.8,78.74,71.33,75.18,68.91,"1,470,091,700"
1-Jan-14,79.38,80.03,70.51,71.51,65.55,"2,191,488,600"
1-Dec-13,79.71,82.16,76.97,80.15,73.46,"1,764,349,300"
6-Nov-13,0.43571ÿDividend,,,,,
