Vehicle Style,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,highway MPG,city mpg,Popularity,MSRP
4dr Hatchback,Acura,ZDX,2011,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Crossover,Hatchback,Luxury",Midsize,23,16,204,46020
4dr Hatchback,Acura,ZDX,2011,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Crossover,Hatchback,Luxury",Midsize,23,16,204,56570
4dr Hatchback,Acura,ZDX,2011,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Crossover,Hatchback,Luxury",Midsize,23,16,204,50520
4dr Hatchback,Acura,ZDX,2012,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Crossover,Hatchback,Luxury",Midsize,23,16,204,46120
4dr Hatchback,Acura,ZDX,2012,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Crossover,Hatchback,Luxury",Midsize,23,16,204,56670
4dr Hatchback,Acura,ZDX,2012,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Crossover,Hatchback,Luxury",Midsize,23,16,204,50620
4dr Hatchback,Acura,ZDX,2013,premium unleaded (recommended),300,6,AUTOMATIC,all wheel drive,4,"Crossover,Hatchback,Luxury",Midsize,23,16,204,50920
4dr SUV,Acura,MDX,2015,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,27,18,204,44565
4dr SUV,Acura,MDX,2015,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,27,18,204,48840
4dr SUV,Acura,MDX,2015,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,27,18,204,50840
4dr SUV,Acura,MDX,2015,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,28,20,204,42565
4dr SUV,Acura,MDX,2015,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,28,20,204,48840
4dr SUV,Acura,MDX,2015,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,28,20,204,46840
4dr SUV,Acura,MDX,2015,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,27,18,204,56780
4dr SUV,Acura,MDX,2015,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,28,20,204,54780
4dr SUV,Acura,MDX,2016,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,27,19,204,43015
4dr SUV,Acura,MDX,2016,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,27,19,204,49440
4dr SUV,Acura,MDX,2016,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,26,18,204,46515
4dr SUV,Acura,MDX,2016,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,27,19,204,44515
4dr SUV,Acura,MDX,2016,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,26,19,204,55230
4dr SUV,Acura,MDX,2016,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,26,18,204,45015
4dr SUV,Acura,MDX,2016,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,27,20,204,53230
4dr SUV,Acura,MDX,2016,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,26,18,204,52640
4dr SUV,Acura,MDX,2016,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,26,18,204,51440
4dr SUV,Acura,MDX,2016,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,26,18,204,50640
4dr SUV,Acura,MDX,2016,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,27,20,204,55230
4dr SUV,Acura,MDX,2016,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,26,18,204,49440
4dr SUV,Acura,MDX,2016,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,27,19,204,47440
4dr SUV,Acura,MDX,2016,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,27,19,204,48640
4dr SUV,Acura,MDX,2016,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,27,19,204,50640
4dr SUV,Acura,MDX,2016,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,26,19,204,57230
4dr SUV,Acura,MDX,2017,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,26,19,204,56400
4dr SUV,Acura,MDX,2017,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,27,19,204,48360
4dr SUV,Acura,MDX,2017,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,26,18,204,50360
4dr SUV,Acura,MDX,2017,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,26,18,204,52360
